file name,package url,robot platforms,robot stack,infrastructure
micro-ROS,https://github.com/micro-ROS,,,"[[Real-Time Execution & Scheduling]], [[Embedded Systems & Accelerators]], [[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
MINS,https://github.com/sacovo/MINS,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]], [[State Estimation]]","[[Visualization, Monitoring & Data Tools]]"
MixNet,https://github.com/TUMFTM/MixNet,"[[Autonomous Vehicles (cars, trucks, delivery robots)]]",[[Motion & Trajectory Prediction]],
Mobile_MoCap,https://github.com/RIVeR-Lab/mobile_mocap,[[Robots for Education & Research]],"[[Sensing & Raw Data Processing (camera, lidar, sonar, radar)]]",[[Hardware Drivers & Interfaces]]
MOCAP4ROS2,https://github.com/MOCAP4ROS2-Project,,"[[Sensing & Raw Data Processing (camera, lidar, sonar, radar)]]","[[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
mola,https://github.com/MOLAorg/mola,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",
moveit_task_constructor,https://github.com/moveit/moveit_task_constructor,[[Industrial Robots]],[[Task-Level Planning & Reasoning]],
MPSoC4Drones,https://github.com/DIII-SDU-Group/MPSoC4Drones,[[Aerial Robots (UAVs)]],,[[Embedded Systems & Accelerators]]
mrs_multirotor_simulator,https://github.com/ctu-mrs/mrs_multirotor_simulator/tree/ros2,,,[[Simulators & Playgrounds]]
mujoco_ros2,https://github.com/Woolfrey/mujoco_ros2,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]]","[[Machine Learning (RL, Adaptive, etc)]]",[[Simulators & Playgrounds]]
Multi-Robot-Graph-SLAM,https://github.com/aserbremen/Multi-robot-graph-SLAM,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",[[Multi-Robot Systems]]
MVSim,https://github.com/MRPT/mvsim,[[Ground Robots (UGVs legged wheeled)]],[[Sim2Real Transfer]],[[Simulators & Playgrounds]]
NanoMap,https://github.com/ViWalkerDev/NanoMap,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]], [[Machine Learning (RL, Adaptive, etc)]]","[[Embedded Systems & Accelerators]], [[Simulators & Playgrounds]]"
NAO,https://github.com/antbono/OAN,"[[Consumer, Service & Entertainment Robotics]]","[[HRI - Human–Robot Interfaces (speech, vision-language, wearable sensors)]]",[[Hardware Drivers & Interfaces]]
nav2_accountability_explainability,https://github.com/uleroboticsgroup/nav2_accountability_explainability,[[Ground Robots (UGVs legged wheeled)]],"[[HRI - Trust, Transparency & Explainability]]",
Navigation2,https://github.com/ros-navigation/navigation2,"[[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Motion Planning (global)]], [[Reactive Planning (local , obstacle avoidance)]], [[Motion Planning & Navigation (global, local, path following)]]",
NVIDIA_Isaac_ROS,https://github.com/NVIDIA-ISAAC-ROS,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]]","[[Machine Learning (RL, Adaptive, etc)]]",[[Simulators & Playgrounds]]
Open-RMF,https://github.com/open-rmf/rmf,[[Logistics & Warehousing]],[[Task-Level Planning & Reasoning]],"[[Multi-Robot Systems]], [[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
Open-VINS,https://github.com/rpng/open_vins,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]], [[State Estimation]]",
opendr,https://github.com/opendr-eu/opendr,,"[[Object Detection & Semantic Understanding]], [[Machine Learning (RL, Adaptive, etc)]], [[HRI - Human–Robot Interfaces (speech, vision-language, wearable sensors)]]","[[Embedded Systems & Accelerators]], [[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
ORB_SLAM3_ROS2,https://github.com/zang09/ORB_SLAM3_ROS2,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",
ORB-SLAM3,https://github.com/suchetanrs/ORB-SLAM3-ROS2-Docker,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",
orocos,https://github.com/orocos,,"[[Classical Control (PID, MPC, etc.)]]","[[Real-Time Execution & Scheduling]], [[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
OtterROS,https://github.com/offroad-robotics/otter_ros,[[Underwater Robots (UUVs)]],,"[[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
PAAM,https://github.com/rtenlab/reference-system-paam,"[[Autonomous Vehicles (cars, trucks, delivery robots)]]",,"[[Real-Time Execution & Scheduling]], [[Embedded Systems & Accelerators]], [[Analyzing, Testing, Benchmarking & Profiling]]"
PegasusSimulator,https://github.com/PegasusSimulator/PegasusSimulator,[[Aerial Robots (UAVs)]],"[[Machine Learning (RL, Adaptive, etc)]]",[[Simulators & Playgrounds]]
PlanSys2,https://github.com/PlanSys2/ros2_planning_system,,[[Task-Level Planning & Reasoning]],
pointcloudset,https://github.com/virtual-vehicle/pointcloudset/,"[[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Sensing & Raw Data Processing (camera, lidar, sonar, radar)]]","[[Analyzing, Testing, Benchmarking & Profiling]]"
PointIt,https://github.com/Gabry993/pointing-user-interface-hri,,"[[HRI - Human–Robot Interfaces (speech, vision-language, wearable sensors)]], [[Intent/Behavior Forecasting]]",
PyCuVSLAM,https://github.com/NVlabs/PyCuVSLAM,"[[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",[[Embedded Systems & Accelerators]]
qml_ros2_plugin,https://github.com/StefanFabian/qml_ros2_plugin,,,"[[Build & Development Tools]], [[Visualization, Monitoring & Data Tools]]"
RCLAda,https://github.com/ada-ros/ada4ros2/?tab=readme-ov-file,,,"[[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
rcldart,https://github.com/rcldart/rcldart,,,[[Build & Development Tools]]
RCTF,https://github.com/aliasrobotics/RCTF,,,"[[Security, Safety & Verification]], [[Simulators & Playgrounds]]"
ReconROS,https://github.com/Lien182/ReconROS,,,[[Embedded Systems & Accelerators]]
RESPLE,https://github.com/ASIG-X/RESPLE/tree/main,[[Aerial Robots (UAVs)]],"[[State Estimation]], [[Motion & Trajectory Prediction]]","[[Security, Safety & Verification]]"
RGBD_OakCamera_RTABMap,https://github.com/M2219/RGBD_OakCamera_RTABMap,,[[Object Detection & Semantic Understanding]],
rl-tools,https://github.com/rl-tools/rl-tools,,"[[Machine Learning (RL, Adaptive, etc)]]",[[Build & Development Tools]]
RoboFuzz,https://github.com/sslab-gatech/RoboFuzz?tab=readme-ov-file,,,"[[Security, Safety & Verification]], [[Analyzing, Testing, Benchmarking & Profiling]], [[Middleware & Communication]]"
robot_localization,https://github.com/cra-ros-pkg/robot_localization,,[[State Estimation]],
RobotCore,https://github.com/ros-acceleration,,,[[Embedded Systems & Accelerators]]
RobotPerf,https://github.com/robotperf/benchmarks,,,"[[Embedded Systems & Accelerators]], [[Analyzing, Testing, Benchmarking & Profiling]], [[Middleware & Communication]]"
RobotRLkit,https://github.com/FilipeAlmeidaFEUP/ros2_flatland_rl_tutorial,,"[[Control - Adaptive & Learning-Based Control (RL, imitation, adaptive dynamics)]], [[Machine Learning (RL, Adaptive, etc)]]",
Rolling-Bonxai,https://github.com/mukundbala/Rolling-Bonxai,,"[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",
roman_ros,https://github.com/mit-acl/roman_ros,"[[Aerial Robots (UAVs)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]], [[Ground Robots (UGVs legged wheeled)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",
ros_gz,https://github.com/gazebosim/ros_gz,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]]",,[[Simulators & Playgrounds]]
ros_pybullet_interface,https://github.com/ros-pybullet/ros_pybullet_interface,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]]","[[Machine Learning (RL, Adaptive, etc)]]",[[Simulators & Playgrounds]]
ROS-Dynamic-Executor,https://github.com/RTIS-Lab/ROS-Dynamic-Executor,,,"[[Real-Time Execution & Scheduling]], [[Analyzing, Testing, Benchmarking & Profiling]]"
ROS-Industrial,https://github.com/ros-industrial,[[Industrial Robots]],,[[Hardware Drivers & Interfaces]]
ros-mcp-server,https://github.com/robotmcp/ros-mcp-server,,"[[HRI - Human–Robot Interfaces (speech, vision-language, wearable sensors)]]",
ROS-Phys-MC,https://github.com/RTIS-Lab/ROS-Phys-MC,"[[Autonomous Vehicles (cars, trucks, delivery robots)]]",,[[Real-Time Execution & Scheduling]]
ros2_control,https://github.com/ros-controls/ros2_control,,"[[Classical Control (PID, MPC, etc.)]]","[[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
ros2_executor_evaluations,https://github.com/tu-dortmund-ls12-rt/ros2_executor_evaluations,,,"[[Real-Time Execution & Scheduling]], [[Analyzing, Testing, Benchmarking & Profiling]]"
ros2_gmapping,https://github.com/siddarth09/ros2_gmapping,,"[[Motion Planning (global)]], [[Localization and Mapping (SLAM, LIO, VIO, LIVO)]], [[Motion Planning & Navigation (global, local, path following)]]",
ros2_gym_ignition,https://github.com/nicholaspalomo/ros2_gym_ignition,,"[[Machine Learning (RL, Adaptive, etc)]]",[[Simulators & Playgrounds]]
ros2_orb_slam3,https://github.com/Mechazo11/ros2_orb_slam3,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",
ros2_response_time_analysis,https://github.com/boschresearch/ros2_response_time_analysis,,,"[[Real-Time Execution & Scheduling]], [[Analyzing, Testing, Benchmarking & Profiling]]"
ros2_tracing,https://github.com/ros2/ros2_tracing,,,"[[Real-Time Execution & Scheduling]], [[Build & Development Tools]]"
ros2_unbag,https://github.com/ika-rwth-aachen/ros2_unbag,,,"[[Visualization, Monitoring & Data Tools]], [[Synthetic Data & Dataset Generation]]"
ros2-3gppSA6-mapper,https://github.com/Ericsson/ros2-3gppSA6-mapper,,,[[Middleware & Communication]]
ros2-forest,https://github.com/ros2-forest/forest,,,"[[Embedded Systems & Accelerators]], [[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
ros2-foxy-wearable-biosensors,https://github.com/SMARTlab-Purdue/ros2-foxy-wearable-biosensors,[[Healthcare & Assistive Robotics]],"[[HRI - Human–Robot Interfaces (speech, vision-language, wearable sensors)]]",[[Hardware Drivers & Interfaces]]
ros2-message-flow-analysis,https://github.com/christophebedard/ros2-message-flow-analysis,,,"[[Real-Time Execution & Scheduling]], [[Analyzing, Testing, Benchmarking & Profiling]]"
ros2-performance,https://github.com/irobot-ros/ros2-performance,,,"[[Analyzing, Testing, Benchmarking & Profiling]]"
ros2ai,https://github.com/fujitatomoya/ros2ai,,"[[HRI - Human–Robot Interfaces (speech, vision-language, wearable sensors)]]",
ROS2BDI,https://github.com/ElDivinCodino/ROS2BDI,,[[Task-Level Planning & Reasoning]],"[[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
ros2learn,https://github.com/AcutronicRobotics/ros2learn,[[Industrial Robots]],"[[Machine Learning (RL, Adaptive, etc)]]",
ROS2SWARM,https://github.com/ROS2swarm/ROS2swarm,,[[Task-Level Planning & Reasoning]],[[Multi-Robot Systems]]
ROSA,https://github.com/nasa-jpl/rosa,"[[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Task-Level Planning & Reasoning]], [[HRI - Human–Robot Interfaces (speech, vision-language, wearable sensors)]]",
ROSGPT,https://github.com/aniskoubaa/rosgpt,,"[[Task-Level Planning & Reasoning]], [[HRI - Human–Robot Interfaces (speech, vision-language, wearable sensors)]]",
ROSGPT_Vision,https://github.com/bilel-bj/ROSGPT_Vision,"[[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Object Detection & Semantic Understanding]], [[Task-Level Planning & Reasoning]], [[HRI - Human–Robot Interfaces (speech, vision-language, wearable sensors)]]",
rtabmap,https://github.com/introlab/rtabmap_ros/tree/ros2,"[[Aerial Robots (UAVs)]], [[Ground Robots (UGVs legged wheeled)]], [[Autonomous Vehicles (cars, trucks, delivery robots)]]","[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",
rvd,https://github.com/aliasrobotics/RVD,"[[Ground Robots (UGVs legged wheeled)]], [[Aerial Robots (UAVs)]]",,"[[Security, Safety & Verification]], [[Synthetic Data & Dataset Generation]]"
